# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
5.655598372618468872e-01 7.836738040315478315e+01 1.880125287761973851e+01 6.673888102238949571e+00 -1.003652142603948596e+04 -5.638024521394957446e+03 -1.821018620829865085e+03 1.499609931823273143e+02 1.163732616987929941e+04 8.671215202990886439e+01 -4.534120504098585513e+01
5.499099895720940268e-01 7.833346339881512677e+01 1.882881831623226887e+01 6.504049909461752321e+00 -1.028861478831553904e+04 -5.757103996252570141e+03 -1.857806714367349741e+03 1.527858132858855242e+02 1.188658088833326110e+04 8.688154908706511037e+01 -4.534120504098585513e+01
5.601423877789227790e-01 7.824694106067553889e+01 1.869636509252798717e+01 6.918761100973893186e+00 -1.028083529162281411e+04 -5.752840511116921334e+03 -1.857229563061566068e+03 1.529234145181232520e+02 1.187867317782355894e+04 8.690700180033013567e+01 -4.534120504098585513e+01
5.597165418456443442e-01 7.838770601737242316e+01 1.866552640302548483e+01 6.914153743337717373e+00 -9.863279917494955953e+03 -5.556239905842589906e+03 -1.795687985680375050e+03 1.480166750061414689e+02 1.146602379728287997e+04 8.713000215471006982e+01 -4.534120504098585513e+01
5.383348290229530431e-01 7.834579582801025310e+01 1.867952704337972136e+01 6.841791786101091510e+00 -1.004506469666199519e+04 -5.643646329661867640e+03 -1.820677046023891080e+03 1.494410083171408701e+02 1.164636455878747438e+04 8.728586324646435912e+01 -4.534120504098585513e+01
5.492554303811911787e-01 7.841123496279537619e+01 1.873298395332493271e+01 7.173901024182477215e+00 -1.000857873665574152e+04 -5.625274354745836717e+03 -1.816377323202907064e+03 1.494712243609593258e+02 1.160985929136813684e+04 8.746369776551004804e+01 -4.534120504098585513e+01
5.390837694747456776e-01 7.821348143979085421e+01 1.856810505519852583e+01 7.346378316054911650e+00 -1.033656325443210517e+04 -5.780154968201740303e+03 -1.864475099718901674e+03 1.531694170202623013e+02 1.193413764250635359e+04 8.748896756906601979e+01 -4.534120504098585513e+01
5.676341389133113813e-01 7.835093719293354297e+01 1.876214924353953961e+01 6.621797539148072786e+00 -1.012189514255088216e+04 -5.677568078088022958e+03 -1.834117751167142160e+03 1.512154077891539430e+02 1.172144774815492747e+04 8.761252413648365689e+01 -4.534120504098585513e+01
5.289442382139003529e-01 7.825478130516917474e+01 1.867962234421027290e+01 7.442131320309998799e+00 -1.041917534489547324e+04 -5.819562129693537827e+03 -1.876053150192558633e+03 1.539370271141436319e+02 1.201597328234870656e+04 8.762085366587410817e+01 -4.534120504098585513e+01
5.466874963999829307e-01 7.821623264798043351e+01 1.872249414101681708e+01 7.110349425962669834e+00 -1.035388611759512605e+04 -5.788268495299751521e+03 -1.866996837736364114e+03 1.533815099229609871e+02 1.195125380421575755e+04 8.770478671097316692e+01 -4.534120504098585513e+01
5.522135379490549223e-01 7.837060327402954840e+01 1.870567893444026097e+01 6.548960493876357702e+00 -1.003096231300490217e+04 -5.636325794269690050e+03 -1.819272951630644684e+03 1.495375454085519493e+02 1.163217923832059751e+04 8.792610279962158870e+01 -4.534120504098585513e+01
5.773149234922769768e-01 7.832835519548483205e+01 1.879574789261276635e+01 6.552832296753609675e+00 -9.994832961629685087e+03 -5.617178582376027407e+03 -1.815976501307344506e+03 1.499442998301543923e+02 1.159566392264466049e+04 8.797280321532396385e+01 -4.534120504098585513e+01
5.735392960309758648e-01 7.842935119521466447e+01 1.873281751842235110e+01 5.917955416491214926e+00 -9.748873971449944293e+03 -5.502350696854731723e+03 -1.778771228281533922e+03 1.466694469311634350e+02 1.135297244112487169e+04 8.810085640782611449e+01 -4.534120504098585513e+01
5.538094592080200496e-01 7.825537030345368805e+01 1.867040754853666584e+01 6.888932144408676628e+00 -1.009025890528420496e+04 -5.663837267740853349e+03 -1.828536417523237787e+03 1.504103967762429193e+02 1.169060385158705321e+04 8.812631509905634175e+01 -4.534120504098585513e+01
5.402540254298512368e-01 7.821019963583924550e+01 1.861779946914571582e+01 7.152230714545709134e+00 -1.040651229016088655e+04 -5.813016918002113925e+03 -1.874916156614941883e+03 1.540264885658411629e+02 1.200323112570691956e+04 8.818626161448260348e+01 -4.534120504098585513e+01
5.576718801112708901e-01 7.837635908790197448e+01 1.889057435955943021e+01 6.685880420069634233e+00 -9.939157165935052035e+03 -5.592385542424426603e+03 -1.806468768317763534e+03 1.487435955589532455e+02 1.154117184464013553e+04 8.830076537422941385e+01 -4.534120504098585513e+01
