# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.134580475710058600e+00 7.798812023172726526e+01 2.386759627579805354e+01 3.201577383678136357e+01 -9.148126300868136241e+03 -5.701902353262178622e+03 -1.727274273729848801e+03 1.439718599986827883e+02 1.164591581013990981e+04 -8.547467197530314941e+11 -4.534120504098585513e+01
1.796029220883147204e+01 7.831682014847559969e+01 1.842950420937479450e+01 4.575410749680745681e+01 -1.070608776449000834e+04 -5.869228010397804610e+03 -1.739070658726186593e+03 1.850922837278727684e+02 1.137094815941374873e+04 -7.011262846785352783e+11 -4.534120504098585513e+01
1.989484982277455316e+01 7.564303588154560032e+01 2.611497086393080380e+01 4.355876457597434381e+01 -9.069407633327597068e+03 -5.541253839584845082e+03 -1.813679636849634107e+03 1.546679906872741412e+02 1.143654977991336818e+04 -6.139744266497261963e+11 -4.534120504098585513e+01
1.677992441457205430e+01 7.525895110823874745e+01 2.957848442045366610e+01 6.672817020678763811e+01 -1.065777949292750054e+04 -5.671585971311648791e+03 -1.747316559959481310e+03 1.210766225520916919e+02 1.155955785848317282e+04 -5.596796162983582764e+11 -4.534120504098585513e+01
8.282302135889196393e+00 6.953539509477187153e+01 4.560666564348309748e+00 7.184547535540215790e+01 -9.006687104044834996e+03 -5.620516716765147066e+03 -1.875813648494163090e+03 1.813485445703826144e+02 1.126426252343528722e+04 -5.572616381329331055e+11 -4.534120504098585513e+01
1.840143661503075734e+01 7.691458270008669729e+01 2.189755525401146485e+01 5.506394503315949152e+01 -9.206725337887153728e+03 -5.593123404164503881e+03 -1.726824536275625633e+03 1.562650573407729269e+02 1.148024557634489065e+04 -4.953764475728529053e+11 -4.534120504098585513e+01
8.171814143455952362e+00 7.532952895032066465e+01 1.777428131852160931e+01 6.787727909277361960e+01 -1.047938876669748242e+04 -5.891856314971927532e+03 -1.905271278078424075e+03 1.316909800878024441e+02 1.136148919372635828e+04 -4.895848912128160400e+11 -4.534120504098585513e+01
6.158306243390191170e+00 7.068801225094748020e+01 2.762786558627362865e+01 7.866988573736168178e+01 -1.085057639210539310e+04 -5.560588445665334802e+03 -1.789972619839029221e+03 1.204767331566026343e+02 1.187872937284400541e+04 -4.474745968000865479e+11 -4.534120504098585513e+01
1.802661254250775258e+01 6.509434323342597395e+01 1.291824761566112656e+01 6.921808273289894942e+01 -9.518105072832067890e+03 -5.886149947418037300e+03 -1.878041632395674696e+03 1.625724269204185362e+02 1.171992815256918402e+04 -4.451920349584501953e+11 -4.534120504098585513e+01
1.141265767518979501e+01 8.744967425316720266e+01 1.405055653560227036e+01 3.163989810524954649e+01 -1.053438946316802321e+04 -5.840070232405451861e+03 -1.738273196466740046e+03 1.374226068286218947e+02 1.145357097606898060e+04 -4.349570880136179810e+11 -4.534120504098585513e+01
1.196419375624168779e+01 7.375548847638484062e+01 2.557193783394054876e+01 2.822625509500374719e+01 -9.172084425008129983e+03 -5.624606006504162906e+03 -1.871732179666788397e+03 1.355848481390409006e+02 1.142425345240042225e+04 -4.253590173937019043e+11 -4.534120504098585513e+01
1.653218621256698739e+01 6.856395235636425411e+01 2.216142973391030324e+01 4.628915195189577503e+01 -9.408862232894445697e+03 -5.551065492494816681e+03 -1.730181095673933442e+03 1.747925758060933674e+02 1.159957056762967841e+04 -3.945218681991546631e+11 -4.534120504098585513e+01
1.792462322900035332e+01 7.520412847129776424e+01 3.595240457994617600e+01 4.294643390543683381e+01 -9.631720251459530118e+03 -5.844598249368009419e+03 -1.853401333653647953e+03 1.631977030119612948e+02 1.180461720718658944e+04 -3.843092359802350464e+11 -4.534120504098585513e+01
3.852260555707337275e+00 6.845026368888525781e+01 2.237776059397734585e+01 5.915382891232924578e+01 -1.020432703813156149e+04 -5.777257453713779796e+03 -1.875578770847145051e+03 1.815670402769687541e+02 1.111316383039473658e+04 -3.544208487334346313e+11 -4.534120504098585513e+01
1.215604102194903469e+01 6.364168309762285247e+01 2.205925582064886115e+01 1.785754079327658417e+01 -9.256951995947369142e+03 -5.646390643688419004e+03 -1.780393895011415452e+03 1.868612937417556452e+02 1.132601683425272131e+04 -3.179929561863296509e+11 -4.534120504098585513e+01
9.498844341301420968e+00 8.863190181862933059e+01 3.226707402536107594e+01 7.974346104811417035e+01 -9.762266488444140123e+03 -5.420222419618019558e+03 -1.795791928699098435e+03 1.410019096305574635e+02 1.199155272052671535e+04 -3.123036994522166138e+11 -4.534120504098585513e+01
1.769436625313106504e+01 6.547197212245771425e+01 3.508834834695850446e+01 4.329952713220281879e+01 -9.909271738356699643e+03 -5.432468269266320931e+03 -1.887956758254928673e+03 1.457293087917102810e+02 1.215223123160020259e+04 -3.099960732485227051e+11 -4.534120504098585513e+01
1.150746517022939841e+01 6.605796159866770267e+01 2.348911356726846122e+01 6.229210384138708889e+01 -9.174904006292383201e+03 -5.715292171460868303e+03 -1.704174256872476917e+03 1.672669686881930318e+02 1.123512651401416770e+04 -3.045654540377369995e+11 -4.534120504098585513e+01
1.957343072279977392e+01 7.287037058091409847e+01 3.108996674448614073e+01 1.706907019614707011e+01 -9.440877225141495728e+03 -5.550524461833357236e+03 -1.880020454721347733e+03 1.863340589550688549e+02 1.152854579540348459e+04 -2.859166588402113647e+11 -4.534120504098585513e+01
5.685008928739845757e+00 7.161433510511950828e+01 3.735941147369488124e+00 2.995554327379159432e+01 -1.006783703093748954e+04 -5.544221159964045000e+03 -1.812429416908126996e+03 1.293124607690484993e+02 1.116594354043982457e+04 -2.727343731298232117e+11 -4.534120504098585513e+01
1.114627213205586109e+01 7.168899520132463010e+01 7.146176179666590578e+00 7.860969580817442193e+01 -1.075289178324151544e+04 -5.712447004107499197e+03 -1.763975713043205360e+03 1.363886207949668119e+02 1.188233516553018490e+04 -2.577674955833144226e+11 -4.534120504098585513e+01
7.727990126935297965e+00 6.538014121123376299e+01 3.093510422040889907e+01 8.820395453854476386e+01 -9.181174301889446724e+03 -5.567240194237419928e+03 -1.748593908823063657e+03 1.731095572415319737e+02 1.120442279707946363e+04 -2.439204414315863953e+11 -4.534120504098585513e+01
1.165657915516461074e+01 7.677619275786616981e+01 2.922992366854436597e+01 7.767822369824233419e+01 -1.013946633505921818e+04 -5.511351311492802779e+03 -1.727671347946454262e+03 1.686145425675788090e+02 1.122012978472172290e+04 -2.393859952758948975e+11 -4.534120504098585513e+01
1.318983330202825854e+01 8.350063852899145900e+01 2.767622688913253981e+01 9.261652057164346274e+01 -9.371618593773351677e+03 -5.621298413891791824e+03 -1.943080661002052466e+03 1.717519393364174221e+02 1.139024204091250431e+04 -2.199570313938138123e+11 -4.534120504098585513e+01
6.659982523583747316e+00 6.306907029591143043e+01 3.931657854773668959e+01 3.792581242503981542e+01 -9.992916052290383959e+03 -5.525671409787109042e+03 -1.900264220061637161e+03 1.799356846382516153e+02 1.206108660876723843e+04 -2.107233102452661438e+11 -4.534120504098585513e+01
1.599507266197947608e+01 8.260616974186726225e+01 7.328637137409036661e+00 6.456678505015050007e+01 -1.000251385727105480e+04 -5.454803701451100096e+03 -1.867687486055304817e+03 1.312816713393253281e+02 1.214185586821438119e+04 -1.983074289407876892e+11 -4.534120504098585513e+01
6.041975186223866423e+00 6.599174860168695034e+01 1.422256020522003261e+01 4.464258925393342992e+01 -9.130865227876653080e+03 -5.615414981302867091e+03 -1.774975246388718460e+03 1.303717433232388601e+02 1.113671676386338368e+04 -1.810586652508890991e+11 -4.534120504098585513e+01
1.516528005909222898e+01 6.796030774176787759e+01 3.828385927668978184e+01 7.169618074755389614e+01 -9.065041683556830321e+03 -5.496963370336850858e+03 -1.722754745628956243e+03 1.265896744639108675e+02 1.107870514615361208e+04 -1.640082296092638855e+11 -4.534120504098585513e+01
2.419536171690409798e+00 7.687199948188589360e+01 2.477082488333407539e+01 3.274032183664581197e+01 -9.733099199088566820e+03 -5.868384312738216067e+03 -1.711830669869136727e+03 1.759196415885786280e+02 1.163049585329694128e+04 -1.583888498964454956e+11 -4.534120504098585513e+01
1.088890568444244167e+01 6.843913666016631225e+01 7.628176684966932797e+00 3.290757552657412788e+01 -9.304559515050033951e+03 -5.723897588819106204e+03 -1.862719969667780333e+03 1.673060785541445625e+02 1.121599475278615864e+04 -1.580680468084119263e+11 -4.534120504098585513e+01
5.383145900400395867e+00 7.312578964643155643e+01 3.700191149700362558e+01 9.391350223367638250e+01 -1.019904859326268706e+04 -5.881650214270269316e+03 -1.726046323147924340e+03 1.412156371949660354e+02 1.136066223926676685e+04 -1.552439480171203003e+11 -4.534120504098585513e+01
2.744892158349556688e+00 7.838193460825878844e+01 1.331454013962219918e+01 3.971517988449824799e+01 -9.531211294695520337e+03 -5.736751798708483875e+03 -1.913919950427653475e+03 1.444404367016226161e+02 1.149402886994182518e+04 -1.499622092423507996e+11 -4.534120504098585513e+01
2.222901355050373784e+00 6.057718822300358852e+01 2.735902901553532374e+01 3.632325184798529705e+01 -9.992471115221682339e+03 -5.526135485999456250e+03 -1.899713346863610923e+03 1.806191037942958815e+02 1.196135370284071178e+04 -1.368497576623224945e+11 -4.534120504098585513e+01
9.064398364284159015e+00 8.974721341263344243e+01 2.085951175058706397e+01 5.137064399406597914e+01 -9.576363601715900586e+03 -5.713994175834172893e+03 -1.798415235039502932e+03 1.411629744082550815e+02 1.152194399464872913e+04 -1.324481289052101593e+11 -4.534120504098585513e+01
1.540094399574070216e+01 8.389996964760102571e+01 5.955371483851148007e+00 4.325406784013795658e+01 -1.067226999584905934e+04 -5.849598946060311391e+03 -1.936019316693540304e+03 1.432158195735950130e+02 1.192666292157555290e+04 -1.279490112209953918e+11 -4.534120504098585513e+01
9.863819607625696761e+00 8.163443396210149672e+01 3.362608649948914064e+01 1.596044781585664829e+01 -1.010205345231698084e+04 -5.683880865334486771e+03 -1.889145028245344747e+03 1.769523701073566428e+02 1.129672359242342282e+04 -1.194911390920438080e+11 -4.534120504098585513e+01
1.408786556825885938e+01 6.453679325458740834e+01 1.460310045350240671e+01 9.985890091129286361e+01 -1.008898075138166132e+04 -5.728782926210104051e+03 -1.873653834155490586e+03 1.567586432221367261e+02 1.204058813504319369e+04 -1.185781341054369659e+11 -4.534120504098585513e+01
8.807320201390968606e+00 7.394245090305754786e+01 4.995153303638528719e+00 8.943515020820309758e+01 -1.036811308986623771e+04 -5.769329504501183692e+03 -1.789622870440501629e+03 1.636517783277861042e+02 1.160559195848862328e+04 -1.039219445114250183e+11 -4.534120504098585513e+01
5.087702097840228532e+00 7.531063233488987407e+01 9.376291654201510894e+00 2.000306823263231593e+01 -9.389888303125080711e+03 -5.505185676822316964e+03 -1.916117716331830025e+03 1.358734727482363951e+02 1.133214185319252465e+04 -1.038084660460168610e+11 -4.534120504098585513e+01
1.104811170273415222e+01 8.095174565661251620e+01 2.189176010612241541e+01 8.429798529076460056e+01 -9.769005178959689147e+03 -5.413589850686476893e+03 -1.938397178988761880e+03 1.491499492876492639e+02 1.174232674952799243e+04 -1.031739579019964600e+11 -4.534120504098585513e+01
1.530202813888631397e+01 7.013616606211193982e+01 3.029990386703145333e+01 9.241694096192040320e+01 -1.020656924742470073e+04 -5.614294158566543047e+03 -1.731886312346438444e+03 1.550431565906854416e+02 1.148043598946573911e+04 -1.019467022941960602e+11 -4.534120504098585513e+01
1.702568024896993037e+01 6.275262699798624055e+01 3.595210726147860925e+01 4.451655551911768072e+01 -1.020630628667941164e+04 -5.694158739828118087e+03 -1.848484243464779411e+03 1.300132475035387642e+02 1.151643412338166490e+04 -1.011807947175482635e+11 -4.534120504098585513e+01
9.434816492725547121e+00 8.560249313307626551e+01 2.656670081720190524e+01 3.604111260539596628e+01 -1.012751990961906449e+04 -5.670458699430197157e+03 -1.860623620836685404e+03 1.568190151049847429e+02 1.139045915642789987e+04 -9.798554091940911865e+10 -4.534120504098585513e+01
3.471402440906690146e+00 8.752602468938937363e+01 2.130588404640878153e+01 8.835822810931576043e+01 -9.995700205812065178e+03 -5.771570038436690993e+03 -1.858584378109867657e+03 1.489459310235978080e+02 1.190316508418359444e+04 -9.675564554794093323e+10 -4.534120504098585513e+01
3.148578739548176575e+00 6.774590087575595021e+01 8.295006558843324385e+00 7.262528652222900405e+01 -9.324910943621416664e+03 -5.888939375521907095e+03 -1.838886944660766176e+03 1.847230721932791937e+02 1.106499220393465112e+04 -9.608597944692697144e+10 -4.534120504098585513e+01
4.656294186348284292e+00 6.209841633070023903e+01 1.370114887391081027e+01 9.994082834371024404e+00 -1.087126016300563606e+04 -5.728954507968252074e+03 -1.939867571023225537e+03 1.732633641647960303e+02 1.217441705690320123e+04 -9.432713200424275208e+10 -4.534120504098585513e+01
9.671865191570789833e+00 6.657092456561751703e+01 1.806993139718980146e+01 4.986144532250566641e+01 -9.811474141700688051e+03 -5.597756379799368915e+03 -1.702674496528172085e+03 1.506495617293967371e+02 1.170521769188418330e+04 -8.494386314157546997e+10 -4.534120504098585513e+01
1.085197068700371048e+01 8.256164680892554486e+01 2.195896315522365327e+01 9.873728518974718327e+01 -1.026673483221008610e+04 -5.658471581824339410e+03 -1.848327838709495836e+03 1.551717203332854353e+02 1.156916780228179414e+04 -8.488454012041159058e+10 -4.534120504098585513e+01
1.447479020545721085e+01 7.213369069781876419e+01 2.139054391824618051e+01 3.758650012115543859e+01 -9.195040529959482228e+03 -5.601047398574476574e+03 -1.705867330433320831e+03 1.287622230711095312e+02 1.105866604806308715e+04 -8.104313147954916382e+10 -4.534120504098585513e+01
1.728681593322043497e+01 8.314468357980209134e+01 2.863724678403329449e+01 7.727986482666391055e+01 -1.016774696087996017e+04 -5.567257038000319881e+03 -1.905795106887144584e+03 1.566985647571184757e+02 1.150035390546606322e+04 -7.587574269351556396e+10 -4.534120504098585513e+01
1.320872566712182739e+01 6.770788887980877746e+01 1.043791946002064464e+01 2.184327380345626324e+01 -1.045161020075494707e+04 -5.493196021139743607e+03 -1.809013898821116072e+03 1.317695614960898922e+02 1.186926941043816259e+04 -7.250979916616078186e+10 -4.534120504098585513e+01
1.108859874783921029e+01 8.151591750840994166e+01 2.554695660767126952e+01 8.661403558872160602e+01 -1.052225365518117178e+04 -5.536833280118294169e+03 -1.882128114242132824e+03 1.749548252363879044e+02 1.186821899547479006e+04 -7.219574640053422546e+10 -4.534120504098585513e+01
1.328282578239751377e+00 7.841248358158962617e+01 1.877980089042407386e+01 2.765237991238860360e+01 -9.364950989451543137e+03 -5.836953023856134678e+03 -1.716696072176136568e+03 1.536699146045813507e+02 1.111484390199822337e+04 -6.799730452967612457e+10 -4.534120504098585513e+01
1.473482962870239810e+01 6.667238556085364110e+01 1.101266035951224076e+01 1.307419078525748191e+01 -9.687267891781424623e+03 -5.818172694279524876e+03 -1.912015001136071533e+03 1.351414460567068829e+02 1.152460833858601654e+04 -6.564216414373277283e+10 -4.534120504098585513e+01
