# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.347835621601845624e+01 7.091331640481250531e+01 2.652520218169167165e+01 5.565271659509166824e+01 -1.078848078834424814e+04 -5.520745876325320751e+03 -1.794477189591650585e+03 1.802298108266002998e+02 1.182579560518830840e+04 -3.267834162195645142e+11 -4.534120504098585513e+01
7.545211251935183938e+00 7.388562161156428942e+01 2.498780900070814681e+01 2.003340353700629706e+01 -1.062052689281469611e+04 -5.840187411579976470e+03 -1.799781787327678558e+03 1.665283309767332867e+02 1.167940983694266833e+04 -2.461552700925514221e+11 -4.534120504098585513e+01
8.575510750519985237e+00 7.613284222832464820e+01 3.819083544543355746e+00 6.143708721625247904e+01 -9.589913159158599228e+03 -5.640526486492830372e+03 -1.890794220426861330e+03 1.383061583777715100e+02 1.170717463224877793e+04 -2.495559266990922546e+11 -4.534120504098585513e+01
1.931915612545211403e+01 8.301581403891412947e+01 5.303905799672916643e+00 2.092549726434306478e+01 -1.096936716019446430e+04 -5.529682388098683987e+03 -1.761479344609687132e+03 1.427503300288844912e+02 1.207671205678795923e+04 -3.296658121639869385e+11 -4.534120504098585513e+01
1.720125590092034429e+01 6.744891437849697979e+01 2.063384810275752557e+01 3.389415284612061097e+00 -1.012840338879912269e+04 -5.768153760268266524e+03 -1.820883575822047078e+03 1.882703385320225493e+02 1.142379897029092353e+04 -4.952254611595928955e+10 -4.534120504098585513e+01
8.863550819693326588e+00 7.161741937647239808e+01 1.673076620382741853e+00 2.429934567392945155e+01 -1.055187319332743937e+04 -5.873925833950898777e+03 -1.855226989766316819e+03 1.285068421021753124e+02 1.192750912016654911e+04 -6.070004202850550079e+10 -4.534120504098585513e+01
1.788819985179842575e+01 7.110705402161360666e+01 2.883950239610539157e+01 2.278215385538345572e+01 -9.058435033008185201e+03 -5.849359240322134610e+03 -1.839322679527518858e+03 1.739780558596706896e+02 1.120852426150565225e+04 -4.523806835829807129e+11 -4.534120504098585513e+01
4.966320871447134522e+00 7.382168823901022847e+01 3.894773500279006129e+01 8.893865101534993300e+01 -1.007074803410138884e+04 -5.836765049149783408e+03 -1.825035792636118913e+03 1.243887581105052931e+02 1.153554365420211434e+04 -1.922776134683800888e+10 -4.534120504098585513e+01
1.309465913866984632e+00 8.891576864984013184e+01 2.620163561422647547e+01 9.659629451839722947e+01 -1.063151646649655231e+04 -5.847739233945583692e+03 -1.731051875368002356e+03 1.425081362452218059e+02 1.157005594423868388e+04 -4.076622420131729736e+11 -4.534120504098585513e+01
5.903020429333079910e+00 7.896580960370843627e+01 1.146078428829106954e+01 5.355957222062495759e+01 -9.201733896828051002e+03 -5.776422070392130081e+03 -1.789143415853285205e+03 1.656102326675694769e+02 1.131168312071746004e+04 -3.644038984031444092e+11 -4.534120504098585513e+01
1.619149294792833516e+01 8.788183004518165831e+01 3.257141771962457710e+01 4.021707943270236996e+01 -1.041636331732259896e+04 -5.764429161482435120e+03 -1.801310543456030018e+03 1.881488374720528611e+02 1.219153797879299236e+04 -4.419416000111849976e+10 -4.534120504098585513e+01
4.084108548175674258e+00 8.785084245404247838e+01 2.689041975728267087e+00 8.629681103660149688e+01 -9.467197268208336027e+03 -5.562105971577891069e+03 -1.716683952103151114e+03 1.261971043405564785e+02 1.157992188073595571e+04 -2.338492245446737366e+11 -4.534120504098585513e+01
1.837069236623091584e+01 7.900910663875350792e+01 7.429209783214702156e+00 1.313264200727524234e+01 -1.059829787500459133e+04 -5.569161471643611549e+03 -1.903992605101048866e+03 1.250728201473235544e+02 1.173434909644428444e+04 -2.946493555977232666e+11 -4.534120504098585513e+01
2.137674318506594395e-01 8.122644617911585385e+01 3.619562354731976228e+01 5.771473905964781181e+01 -9.523884561256891175e+03 -5.506810294320833236e+03 -1.902336927417411971e+03 1.869006569174472929e+02 1.137422569018016475e+04 -9.349686235670701599e+10 -4.534120504098585513e+01
1.447315070570363460e+01 8.426303807492168119e+01 2.652004008911066180e+01 5.160666641530799126e+01 -1.077321723175588522e+04 -5.785012809418302822e+03 -1.705095964102601329e+03 1.328021719104883971e+02 1.197755416589051492e+04 -1.850161394929473877e+11 -4.534120504098585513e+01
6.202980396087913739e-01 7.506543245481621796e+01 1.166817998208038354e+01 5.158094540375878267e+01 -9.226568613072973676e+03 -5.418154922045632702e+03 -1.708899886983232818e+03 1.469219396664237536e+02 1.213596285911683481e+04 -1.578441535274402344e+12 -4.534120504098585513e+01
1.954171629452402925e+01 6.389082403130466759e+01 3.155394183204962033e+01 5.952273986498491354e+01 -1.005619361864164239e+04 -5.618229958385854843e+03 -1.796920942205123310e+03 1.781732137308411836e+02 1.156665409526623080e+04 -3.310833750723961353e+09 -4.534120504098585513e+01
1.804673515200141409e+01 6.518000067383339058e+01 2.662173374120994751e+01 7.428920672091456368e+01 -9.324452764608357029e+03 -5.516169629542182520e+03 -1.915870133050817913e+03 1.808485850041479921e+02 1.119761162977886488e+04 -1.074841859322548676e+11 -4.534120504098585513e+01
1.490838430424213357e+01 6.553418227691393838e+01 1.010227051701138024e+01 6.237335627802686844e+01 -1.032497506532187435e+04 -5.712938880739051456e+03 -1.786339336796649377e+03 1.662310118090322817e+02 1.198930862880722634e+04 -5.454454601550033569e+09 -4.534120504098585513e+01
1.872073880779761623e+01 8.221836322803621044e+01 3.456431972435962763e+01 5.060873112779569638e+00 -9.740174680472167893e+03 -5.533194453431905458e+03 -1.818303974579440819e+03 1.290955187123868200e+02 1.121135828881129783e+04 -2.401209465977243805e+10 -4.534120504098585513e+01
1.281283832793043054e+01 6.402636548326836419e+01 3.232819359253753788e+01 7.019146123213496935e+01 -9.334410678279682543e+03 -5.696759117202505877e+03 -1.854960445210071157e+03 1.381631011446743571e+02 1.198696673935490435e+04 -1.057367268643778442e+12 -4.534120504098585513e+01
3.161567043035439006e+00 7.204838163880589263e+01 2.858364415217207721e+01 3.558955698793946354e+00 -9.734029081908103763e+03 -5.740285712343134037e+03 -1.745702290765263342e+03 1.706968692987963720e+02 1.145070403144334523e+04 -3.806551793518430328e+10 -4.534120504098585513e+01
3.220570183779536411e-01 6.198475824500251008e+01 5.914555515034761513e+00 8.274601155607625458e+01 -1.023784026758210348e+04 -5.715583186299210865e+03 -1.760847941611785018e+03 1.356216989473399508e+02 1.127409359387130644e+04 -3.026606899317622070e+11 -4.534120504098585513e+01
8.175623451253050789e+00 8.270968211858634334e+01 2.148153339442987786e+01 1.648347885945187841e+01 -1.085013370220911202e+04 -5.879987605211769733e+03 -1.846934604727685837e+03 1.381222188292294106e+02 1.167746758344815134e+04 -5.936110700572983398e+11 -4.534120504098585513e+01
1.789261720549779611e+01 8.690678206354266422e+01 3.501410450031650612e+01 2.585780838195544717e+01 -1.059120314650317050e+04 -5.470089094882395329e+03 -1.949001808808453461e+03 1.207386766198813035e+02 1.139138531359421359e+04 -7.877089181736229248e+11 -4.534120504098585513e+01
1.965638326339146502e+01 8.443463220055993190e+01 8.197253464259651068e+00 4.967475414666228772e+01 -9.182887203780961499e+03 -5.416250595674649048e+03 -1.739638173341282481e+03 1.571386133606067688e+02 1.101732436644980044e+04 -7.109526326553225708e+10 -4.534120504098585513e+01
1.930375883992809349e+01 8.196273635400248736e+01 1.648580344361934635e+01 4.481564654737731956e+01 -9.016658672935658615e+03 -5.683220015886834517e+03 -1.780754708286737241e+03 1.730450294184290385e+02 1.131330387666263596e+04 -6.162146347356435547e+11 -4.534120504098585513e+01
1.547879751803431958e+01 7.996078392225662412e+01 3.560901814716471137e+01 8.755617066478406230e+01 -9.739516271465590762e+03 -5.583866173734846598e+03 -1.881666182573641890e+03 1.434632353152462088e+02 1.124200219942144395e+04 -9.902059224968271255e+09 -4.534120504098585513e+01
5.128292387477204173e+00 6.174807894526427532e+01 2.592540251411913843e+01 9.021878545768925051e+01 -1.061622830828771475e+04 -5.667793494961298165e+03 -1.729662226614681913e+03 1.263378628251953160e+02 1.207942618988152026e+04 -4.430447854603534698e+10 -4.534120504098585513e+01
1.616497078773040030e+01 7.599855503680166180e+01 3.058299953780241864e+01 4.874105081383359561e+01 -1.042242128140975547e+04 -5.568819004194029731e+03 -1.812947242918425900e+03 1.712643030043817021e+02 1.112545859770844072e+04 -7.391064165726890869e+11 -4.534120504098585513e+01
6.100125670524498389e+00 6.423835087255028498e+01 4.410263542687452798e+00 1.503934143564571180e+01 -9.469181433196870785e+03 -5.719624044011256046e+03 -1.928489363464402231e+03 1.347983828343098196e+02 1.153389896636282901e+04 -2.191497271320268250e+11 -4.534120504098585513e+01
1.678553317619012830e+01 8.046075312573159977e+01 2.568678386158659777e+01 3.267263065083304241e+01 -1.093963907414686219e+04 -5.525992897546400854e+03 -1.946688464557652878e+03 1.361674506596114611e+02 1.107861728281454452e+04 -2.251538073832325684e+12 -4.534120504098585513e+01
8.016374984552243177e+00 7.647676380988529843e+01 3.710368972885233063e+01 5.483436120963328619e+01 -9.873821109949123638e+03 -5.493586905669695625e+03 -1.781522187990808789e+03 1.498414325761247312e+02 1.204196753177022401e+04 -2.682673213489973755e+11 -4.534120504098585513e+01
1.733050948519048617e+01 8.031303459203860484e+01 3.515799587638937140e+01 5.285075816139530502e+01 -9.821818290439636257e+03 -5.470194915240287628e+03 -1.878925214201522294e+03 1.791305265768663730e+02 1.181323843882238907e+04 -1.501338302995328064e+11 -4.534120504098585513e+01
