    0.559352454321636383E+00    0.783425704811371730E+02    0.189642553528737778E+02    0.687289116035139358E+01   -0.100719164829936690E+05   -0.565497349678346563E+04   -0.182584713085824887E+04    0.150261678479157183E+03    0.116724135226646904E+05    0.815525832242559261E+02
    0.537788873574192916E+00    0.782731669299015778E+02    0.187960784476353915E+02    0.678338099674423134E+01   -0.103196696707504343E+05   -0.577252731721061537E+04   -0.186167585163051740E+04    0.152845853182787891E+03    0.119175644428998512E+05    0.848971124124280294E+02
    0.565885790725594529E+00    0.783200121433652612E+02    0.189139262929584504E+02    0.640099238412212390E+01   -0.102143499419629534E+05   -0.572087665685394131E+04   -0.184799601553597381E+04    0.152396951864293300E+03    0.118127215971289315E+05    0.851407471177889477E+02
    0.560319389202155516E+00    0.782693447310760746E+02    0.189223487687707177E+02    0.690485346318143289E+01   -0.996103753460328699E+04   -0.560289860324096844E+04   -0.180951888705257056E+04    0.148915547442798072E+03    0.115628856694421684E+05    0.854175303957872245E+02
    0.546507891878778684E+00    0.782757739806566804E+02    0.185923220122836739E+02    0.737955517933299454E+01   -0.103814901912467758E+05   -0.580112675081358520E+04   -0.187125922887464685E+04    0.153766599682861965E+03    0.119784722532788546E+05    0.855353140920905588E+02
    0.544084169049009025E+00    0.782948496509291232E+02    0.188122930255385157E+02    0.690696360092682049E+01   -0.102708415102351792E+05   -0.574983286210430742E+04   -0.185423997092491049E+04    0.152150436905671029E+03    0.118694386415861227E+05    0.856925219567074095E+02
    0.553396338996594572E+00    0.782974589052232801E+02    0.188526123235262197E+02    0.769459438030204179E+01   -0.100059992607254699E+05   -0.562391215645112879E+04   -0.181632251108878495E+04    0.149514052675147468E+03    0.116072427208140198E+05    0.858106608984994068E+02
    0.588941365894025570E+00    0.784258484737212598E+02    0.188383104176283140E+02    0.617160825484983544E+01   -0.970565698104717194E+04   -0.548053941211432084E+04   -0.177382638408940693E+04    0.146731146441723467E+03    0.113097136610253001E+05    0.858772873762681428E+02
    0.556239562515497110E+00    0.783673418206217320E+02    0.188428445471731614E+02    0.718456539953165318E+01   -0.100399402815012472E+05   -0.564039085314234489E+04   -0.182083064762343861E+04    0.149709973749362149E+03    0.116409880110783797E+05    0.860846466904542638E+02
    0.539034461668748577E+00    0.782084014798423937E+02    0.185255108612817949E+02    0.682162643990456985E+01   -0.102641671874762415E+05   -0.574669935737363903E+04   -0.185322493762271893E+04    0.152075923286000346E+03    0.118628298754911248E+05    0.861401454483516318E+02
    0.576269967945566730E+00    0.783419812562365223E+02    0.189814773532593044E+02    0.618972145418764175E+01   -0.987498796363675319E+04   -0.556065402509999058E+04   -0.179840795032010351E+04    0.148575339629221048E+03    0.114771891399672313E+05    0.864007158192445672E+02
    0.560232739872694063E+00    0.783340565801573661E+02    0.189061697330905858E+02    0.678931379921727540E+01   -0.100739414088268586E+05   -0.565591176066702246E+04   -0.182626473243711757E+04    0.150302414151744443E+03    0.116743981815386505E+05    0.866607105573320240E+02
    0.547884968582462828E+00    0.782907391556138919E+02    0.187578136417312784E+02    0.723354309373497628E+01   -0.101239019261527428E+05   -0.567894141587757258E+04   -0.183410050332097262E+04    0.151088269365762926E+03    0.117235696719483112E+05    0.868297199579754420E+02
    0.565521727071412794E+00    0.783137517355942663E+02    0.188649013055449224E+02    0.660796841425527770E+01   -0.100814146376313129E+05   -0.565852754126105901E+04   -0.182823164978577120E+04    0.150745459393784813E+03    0.116814366417856381E+05    0.870478984657579105E+02
    0.534254848302898599E+00    0.783505206644933594E+02    0.186265213608291234E+02    0.787257720358460222E+01   -0.102030501125751689E+05   -0.571815801488801480E+04   -0.184384769336954719E+04    0.151249700537612028E+03    0.118025382894250542E+05    0.871319269704764849E+02
    0.553602181913408598E+00    0.783742653539578953E+02    0.188203074702208646E+02    0.647632573331584105E+01   -0.989137789814335156E+04   -0.557026211819968285E+04   -0.179900794555073890E+04    0.148027692698400301E+03    0.114941068676474424E+05    0.871729683407614999E+02
    0.559334171278905279E+00    0.782687405262581137E+02    0.186372263804894835E+02    0.657688255238250541E+01   -0.103412075713601789E+05   -0.578127437090051808E+04   -0.186609460363422636E+04    0.153632221518034726E+03    0.119383330920175213E+05    0.873515514128651205E+02
    0.554475638360407586E+00    0.783863395604174968E+02    0.187824708678945811E+02    0.715776877625629471E+01   -0.100491540600415574E+05   -0.564422002091231570E+04   -0.182265341723535653E+04    0.150023615393714465E+03    0.116498861626819271E+05    0.873897759045691060E+02
    0.544264997841859555E+00    0.783248555677881342E+02    0.185288663655582582E+02    0.674104650514260584E+01   -0.101556256813582622E+05   -0.569541659498074023E+04   -0.183730912437808411E+04    0.150856623900369755E+03    0.117555104150910447E+05    0.874175788613401323E+02
    0.533759539465521571E+00    0.781635694402281445E+02    0.186434403087225746E+02    0.715886840327620710E+01   -0.105330251364951218E+05   -0.587295076569263165E+04   -0.189317114832029847E+04    0.155370233859926060E+03    0.121283939930027955E+05    0.874959044246751318E+02
