# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.826289242747708030e+01 8.110988163686461405e+01 2.991773328125003673e+01 5.861386367697719635e+01 -9.017504014439949970e+03 -5.824355710622236074e+03 -1.776333786672836140e+03 1.493397685547566311e+02 1.162401276843243977e+04 -4.970817362066154175e+11 -4.534120504098585513e+01
9.225167648283230104e-01 8.615331943564716255e+01 9.371430599375019099e+00 2.374005004156208543e+01 -9.455767813484459111e+03 -5.458860298555432564e+03 -1.712425394509415582e+03 1.651370135823748626e+02 1.213501390411194552e+04 -4.808767602974527588e+11 -4.534120504098585513e+01
1.333246552407525343e+01 7.429458064128118622e+01 1.726166415385797137e+01 2.600918387734498793e+01 -1.055539316212285303e+04 -5.498330870276401583e+03 -1.733102333387578938e+03 1.310869489061166462e+02 1.120387737647740141e+04 -4.257442827900836792e+11 -4.534120504098585513e+01
1.660868532930357588e+01 8.897878116978098717e+01 9.632376978684465740e+00 3.310605381098392197e+00 -9.063652786992242909e+03 -5.599552418192020014e+03 -1.860825682749741190e+03 1.726436927250940130e+02 1.157974380814123651e+04 -4.073577159065227051e+11 -4.534120504098585513e+01
2.534976799009493575e+00 7.445819749007975474e+01 5.245317376981866175e+00 1.680467042717994630e-01 -9.251622910219537516e+03 -5.568421555608420931e+03 -1.875736897694411709e+03 1.655265544024262852e+02 1.176765724669736119e+04 -3.768629783826730347e+11 -4.534120504098585513e+01
7.825654833196898252e+00 6.934279819318757632e+01 2.338368066638949472e+01 3.850430537073080473e+00 -1.092772738762436529e+04 -5.674911897758677696e+03 -1.843047010425285634e+03 1.425959957552147159e+02 1.170445527930206845e+04 -3.206855680022716675e+11 -4.534120504098585513e+01
1.483749347057372425e+01 8.948417077804883490e+01 1.713830936193363996e+01 5.442090282809373036e+01 -9.384133455701370622e+03 -5.520190188515160116e+03 -1.753894890792382967e+03 1.680065533778758038e+02 1.181139241867673263e+04 -3.045942601691898193e+11 -4.534120504098585513e+01
1.000538434360773898e+01 7.233462028875680971e+01 1.568574874541112507e+01 7.070553763904116806e+01 -9.150200774844166517e+03 -5.508617389900939997e+03 -1.829737227270160020e+03 1.316809447437630070e+02 1.161355810570630274e+04 -2.965025337015830078e+11 -4.534120504098585513e+01
1.736100860989176908e+01 7.733248155285244252e+01 3.902052777816928852e+01 1.732210808707798222e+01 -1.099750999051844337e+04 -5.677356537849794222e+03 -1.729951834759312305e+03 1.803880296739220910e+02 1.175196415695576252e+04 -2.929193964806732178e+11 -4.534120504098585513e+01
4.383276295906518349e+00 8.807828345600158571e+01 4.220321476164354380e+00 3.349144087843931317e+01 -1.098868985380027698e+04 -5.561783383721656719e+03 -1.895830610041502268e+03 1.857524285366530137e+02 1.179908654948696312e+04 -2.704732424834461365e+11 -4.534120504098585513e+01
1.042227198167691959e+01 7.688283147262434625e+01 2.690563979393039062e+01 5.665717399371650487e+01 -1.075794835964998856e+04 -5.870754415745243932e+03 -1.919660144058400419e+03 1.784796969246947356e+02 1.149973911390211651e+04 -2.661133732343807373e+11 -4.534120504098585513e+01
6.291295248095181591e+00 7.596475030870358580e+01 2.393770278772734628e+01 5.866019845624653328e+01 -1.073227946588313171e+04 -5.453763318442297532e+03 -1.744197578001352440e+03 1.517150770002902505e+02 1.160730206446191005e+04 -2.599206189107361145e+11 -4.534120504098585513e+01
8.856264009551061633e+00 7.447718543593126128e+01 1.876865967715820815e+01 2.351728492784831914e+01 -1.034213685704183081e+04 -5.433112295863845247e+03 -1.706718932187014389e+03 1.675149527772393867e+02 1.115233347575285188e+04 -2.581670280830759277e+11 -4.534120504098585513e+01
1.190061824540363311e+01 7.215901738446204661e+01 8.016344836475541413e+00 4.740466625297875680e+01 -9.011501786268712749e+03 -5.638041269486265264e+03 -1.825359008294197793e+03 1.865468441183934942e+02 1.118145195944186162e+04 -2.062001659838067322e+11 -4.534120504098585513e+01
1.881984457759278229e+01 8.926754242164084019e+01 1.488940288365222919e+01 7.681407920066808970e+01 -9.487763713082862523e+03 -5.734213546404620502e+03 -1.723351174794377130e+03 1.618594241483955045e+02 1.169695334772987189e+04 -1.912642929862214355e+11 -4.534120504098585513e+01
6.156652315663657671e-01 6.666368243858232745e+01 3.084850533515144733e+01 2.189378039911500551e+01 -9.915807847905369272e+03 -5.421876976212119189e+03 -1.889308911498570751e+03 1.785660250844880750e+02 1.219669558321747536e+04 -1.785030650253643494e+11 -4.534120504098585513e+01
1.079883576913685417e+01 6.471351700553084640e+01 1.806721134209169577e+01 7.670458386660732231e+01 -1.013895604214859850e+04 -5.555523792238242095e+03 -1.800040788293003516e+03 1.363038328238289694e+02 1.111831679817986151e+04 -1.711430599918069458e+11 -4.534120504098585513e+01
1.759454229481365672e+01 8.315052456816071924e+01 2.135481281001024456e+01 1.191280985427673578e+01 -9.371468881169164888e+03 -5.795259917183002472e+03 -1.753701896044640534e+03 1.601771087031374918e+02 1.151770771202282413e+04 -1.697214867008974304e+11 -4.534120504098585513e+01
6.292567269204648817e+00 6.836740000176888543e+01 2.895590309243833715e+01 1.525424964718932941e+01 -9.112426211219777542e+03 -5.625950338043023294e+03 -1.759284960583807788e+03 1.858330691314534988e+02 1.122049133094321951e+04 -1.677108496196996155e+11 -4.534120504098585513e+01
1.629135936234889925e+01 6.178995916340171846e+01 1.016257556183424526e+01 5.831325160463794788e+01 -9.550317944303964396e+03 -5.893433302097956584e+03 -1.785857356975883931e+03 1.710978684863802073e+02 1.160602431860335309e+04 -1.369992303756877441e+11 -4.534120504098585513e+01
