# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
5.346219599334012251e-01 7.822242560475307016e+01 1.859449323648135177e+01 6.654019026621810440e+00 -1.041140059709339221e+04 -5.816341997476124561e+03 -1.874456684281887192e+03 1.536655815763974147e+02 1.200846637922153604e+04 1.612428780166908666e+02 -4.534120504098585513e+01
5.219383297543969125e-01 7.828214599703004239e+01 1.868049856208332571e+01 7.314600090164560697e+00 -1.037923751422829446e+04 -5.802486782120277894e+03 -1.868663124587086486e+03 1.527999507130832626e+02 1.197716059009284800e+04 1.613357727875631156e+02 -4.534120504098585513e+01
5.147846645017204459e-01 7.815343686118617939e+01 1.834163212101041296e+01 6.963304355178535410e+00 -1.052510223721784314e+04 -5.871499163052121730e+03 -1.889806050462882467e+03 1.543850729174715468e+02 1.212143130737578758e+04 1.613470922303671955e+02 -4.534120504098585513e+01
5.599847066016349073e-01 7.822348576920842333e+01 1.866357252753052265e+01 5.588522064622389429e+00 -1.021094217581280827e+04 -5.721611032493520725e+03 -1.845356970797395434e+03 1.514490539586968509e+02 1.181024055077495541e+04 1.614804291770267639e+02 -4.534120504098585513e+01
5.426386419835346198e-01 7.832452992175464601e+01 1.854205095972677242e+01 7.135744799297175867e+00 -1.013163651321323050e+04 -5.683978295125522891e+03 -1.833970127273184289e+03 1.506393744561196115e+02 1.173173935612665991e+04 1.614912578977707653e+02 -4.534120504098585513e+01
5.502574428608604240e-01 7.813337222740864263e+01 1.861844546158753033e+01 5.839652849484499697e+00 -1.033126523397705023e+04 -5.778618040648966598e+03 -1.862802095517421094e+03 1.527309896221030669e+02 1.192927644375327509e+04 1.615271036982698547e+02 -4.534120504098585513e+01
5.527455820285210875e-01 7.826001441031868922e+01 1.868392426660064132e+01 6.065376162830765416e+00 -1.012869844722464404e+04 -5.681932550833833375e+03 -1.834097885019272098e+03 1.508565237798886471e+02 1.172859343556990643e+04 1.615593287847581507e+02 -4.534120504098585513e+01
5.366263111704174804e-01 7.819026248963810133e+01 1.857301932373823306e+01 6.807623484090696842e+00 -1.045317958294410346e+04 -5.836576868864510288e+03 -1.880255066598924486e+03 1.539526879428767927e+02 1.204995529144445572e+04 1.615651270943866109e+02 -4.534120504098585513e+01
5.683429099417590669e-01 7.833312586747125295e+01 1.883339827530672395e+01 6.070424630715432812e+00 -9.982191458752786275e+03 -5.612476021529058016e+03 -1.813003789129348888e+03 1.493187325785223152e+02 1.158363580798947260e+04 1.615957630597896184e+02 -4.534120504098585513e+01
5.557350181122269195e-01 7.830629430564961524e+01 1.889693534975002365e+01 5.922638182616047686e+00 -1.010816083425830584e+04 -5.672297182610232085e+03 -1.831055678033685808e+03 1.505995346269398851e+02 1.170831693353726587e+04 1.616277230079381297e+02 -4.534120504098585513e+01
