    0.536646308396437122E+00    0.783265966989521445E+02    0.191275425229507832E+02    0.715551135908530611E+01    0.143534665160160699E+03
    0.562414046492773045E+00    0.782053596729585365E+02    0.185773266502397334E+02    0.652827842506065981E+01    0.145455648127821547E+03
    0.556092397229506097E+00    0.783504944646067258E+02    0.190054441224779076E+02    0.745875828501313265E+01    0.145503495069404835E+03
    0.556535859545468248E+00    0.782973840551942146E+02    0.189706093320471112E+02    0.796138890765618168E+01    0.146428690475496182E+03
    0.540692020163359266E+00    0.783275171024160812E+02    0.188248366794632993E+02    0.952985176229515751E+01    0.146712261391406344E+03
    0.541556319814822329E+00    0.783790816529985648E+02    0.191567830760757936E+02    0.813068257434137465E+01    0.146863057534339305E+03
    0.543905353591661478E+00    0.781849322115957364E+02    0.192201917433277636E+02    0.843832835742346354E+01    0.146897640621615324E+03
    0.553319407648625861E+00    0.781037730536189088E+02    0.187856767294383218E+02    0.731527598656323441E+01    0.147099385267638780E+03
    0.535881462237749240E+00    0.781870354583634963E+02    0.189694255348004717E+02    0.909573605185013889E+01    0.147302529120879569E+03
    0.546633462422377647E+00    0.783714575495715593E+02    0.189694783705987930E+02    0.908357345669507943E+01    0.147446490136122804E+03
    0.548160186245708947E+00    0.784182242602760482E+02    0.189452302190932258E+02    0.757253344167337872E+01    0.147587412084840082E+03
    0.538212851601347242E+00    0.783370650094740597E+02    0.191305810989153073E+02    0.758664160168209545E+01    0.147625771330720625E+03
    0.545678944082422568E+00    0.784114993472088457E+02    0.188306517222721652E+02    0.762892098604051849E+01    0.147714755651499672E+03
    0.548981118341630214E+00    0.780982162547700796E+02    0.189275591894569288E+02    0.740290788840920655E+01    0.147741063023170625E+03
    0.543405235223293093E+00    0.782211519330880094E+02    0.190758219478495832E+02    0.978698369208689911E+01    0.147873960641806065E+03
    0.551410160682511585E+00    0.781289802959092583E+02    0.188829829246262229E+02    0.826333243645769322E+01    0.147998513358409070E+03
    0.554827246613589065E+00    0.783240238759317435E+02    0.189979417146156919E+02    0.648207118961640916E+01    0.148070186113646344E+03
    0.558050976905245633E+00    0.781994288508652033E+02    0.185713996078465833E+02    0.657044460808717368E+01    0.148156114134398706E+03
    0.549890374148832350E+00    0.781640411411212455E+02    0.191123199862308439E+02    0.749730984835211522E+01    0.148167859332159225E+03
