# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
1.061634056054000297e+01 8.071293454368768039e+01 8.761929376320418683e+00 8.084425863338248064e+01 -9.063587664377317196e+03 -5.786388421009300146e+03 -1.830955582817037111e+03 1.774715286499997262e+02 1.219698757758559623e+04 -2.518008713264816895e+12 -4.534120504098585513e+01
1.059566404573614173e-01 6.918178654508793102e+01 2.432981879272097814e+01 4.584145236205014839e+01 -9.108819040498347022e+03 -5.461251696589026324e+03 -1.889879661834072522e+03 1.238773604061814382e+02 1.216709908582088246e+04 -1.869726295180020020e+12 -4.534120504098585513e+01
3.231743697920083758e+00 7.970108638501652365e+01 1.847945182181877755e+01 5.244696786155461155e+01 -1.095045746114316535e+04 -5.865906024134622385e+03 -1.837434896031724520e+03 1.372410667685302315e+02 1.119767357808327324e+04 -1.754577303364489502e+12 -4.534120504098585513e+01
1.464493590646399568e+01 6.758529460060751148e+01 1.590291597956624692e+01 2.057720360320702113e+01 -9.288505478912282342e+03 -5.584026747845082355e+03 -1.866538356102830676e+03 1.643560920103055594e+02 1.219980151652288077e+04 -1.680656554388943604e+12 -4.534120504098585513e+01
5.553579116111382774e+00 6.409448536512016403e+01 2.362811442576889576e+01 5.747446970345130524e+01 -1.091342941238568892e+04 -5.465114454487315925e+03 -1.844281768664905485e+03 1.492718939346839591e+02 1.126865308917588118e+04 -1.634621115632099609e+12 -4.534120504098585513e+01
2.273192923169669033e+00 6.501067346869454866e+01 1.461454887482456044e+01 3.507392355604646639e+01 -1.096521636466453856e+04 -5.815022342714827573e+03 -1.898419730980070653e+03 1.492142685746162556e+02 1.134618617883690058e+04 -1.428098793816295410e+12 -4.534120504098585513e+01
1.325538346015268409e+01 6.198736757079786486e+01 1.172761343924427813e+01 4.401630263841432367e+01 -1.085943527308141347e+04 -5.539887548553452689e+03 -1.893607120299946473e+03 1.344933123193487461e+02 1.132063432927856957e+04 -1.409706388492177734e+12 -4.534120504098585513e+01
1.188296161466791645e+01 8.691504646652933275e+01 2.845447255579793477e+01 4.831089746020998632e+01 -9.081105340215202887e+03 -5.490159304074174543e+03 -1.732902404004626987e+03 1.274146706663992461e+02 1.190898592713178368e+04 -1.370650822833729980e+12 -4.534120504098585513e+01
1.760275659091858103e+01 7.755601397902769634e+01 1.913038531274970566e+01 6.117526419390492975e+01 -9.069100984467422677e+03 -5.597132544601359768e+03 -1.915878556140244200e+03 1.461627470642826836e+02 1.181105737323868379e+04 -1.271719326836697754e+12 -4.534120504098585513e+01
1.828364164065253661e+01 8.696404839516441143e+01 8.879224701952093568e+00 2.104592502820677780e+01 -9.260977870080958382e+03 -5.432944080186337487e+03 -1.817549774861509150e+03 1.397222309605741941e+02 1.199822721337729490e+04 -1.157238063271132324e+12 -4.534120504098585513e+01
1.463572221851867283e+01 6.101115946381471389e+01 3.805417435183359487e+01 7.449269352237689645e+01 -1.062685845816766960e+04 -5.587185033448031390e+03 -1.800468329906302415e+03 1.865429123096317028e+02 1.109080493885946817e+04 -1.154831930858875977e+12 -4.534120504098585513e+01
1.396944192123479311e+01 7.715382381368206666e+01 1.424222559610376138e+01 3.918941134265969595e+01 -9.329103310218693878e+03 -5.760091666617342526e+03 -1.722106685644783965e+03 1.612560284035654945e+02 1.192291169339847329e+04 -1.070403374168374023e+12 -4.534120504098585513e+01
3.110322282592923759e+00 7.607060023857978592e+01 3.853644241649483604e+01 3.933091400527451764e+00 -9.417635375683550592e+03 -5.897636696466514877e+03 -1.863789396789540433e+03 1.708064278281740940e+02 1.198060616684675551e+04 -1.063419081917434937e+12 -4.534120504098585513e+01
