# A nu0 w tau a0 a1 a2 a3 a4 logL logPrior
5.370368962589571193e-01 7.838276196798582873e+01 1.877481841545625940e+01 7.706127790649410336e+00 -1.015467703630663709e+04 -5.695206269404663544e+03 -1.836841136436225042e+03 1.507459676663329446e+02 1.175467265929243331e+04 8.127712832367370765e+01 -4.534120504098585513e+01
5.885161665750411331e-01 7.827691721076220688e+01 1.898241337882376456e+01 6.121233538761357451e+00 -1.009810818872684831e+04 -5.665418025984141423e+03 -1.831624023374469516e+03 1.513101304493105772e+02 1.169758412408718141e+04 8.259546206092062448e+01 -4.534120504098585513e+01
5.426836847798260921e-01 7.832268371995802170e+01 1.846971527075415409e+01 6.745225617856449141e+00 -1.015924048685599519e+04 -5.696668091213438856e+03 -1.838233759907278682e+03 1.510771872619565102e+02 1.175890346891378249e+04 8.322620360764315706e+01 -4.534120504098585513e+01
5.439814358461662058e-01 7.841030935427940562e+01 1.877648547824837522e+01 6.997437603656199379e+00 -1.019721775815020737e+04 -5.714248651935168709e+03 -1.844015029639998147e+03 1.516293768619211164e+02 1.179633533320564857e+04 8.367614323382039743e+01 -4.534120504098585513e+01
5.431132060244319160e-01 7.838223098183840420e+01 1.859122783184785987e+01 6.731052679789364390e+00 -9.990228299006752422e+03 -5.617448936780915574e+03 -1.813016723627012880e+03 1.489530341981410402e+02 1.159201773816442619e+04 8.500354800469989414e+01 -4.534120504098585513e+01
5.688268138989065470e-01 7.830729872840664996e+01 1.898705989681091921e+01 6.387787634599439990e+00 -9.872534882485475464e+03 -5.559922925752279298e+03 -1.797664389638538069e+03 1.483808926760125928e+02 1.147492873575842532e+04 8.515866420923669011e+01 -4.534120504098585513e+01
5.326525868970785060e-01 7.825765555337260082e+01 1.850681013457491986e+01 7.191951523881696673e+00 -1.042760969098001078e+04 -5.823269644676360258e+03 -1.877591045332553676e+03 1.541459733614035486e+02 1.202419771777272217e+04 8.516589589770771340e+01 -4.534120504098585513e+01
5.264234691738733929e-01 7.824826434147340137e+01 1.873246271548397246e+01 7.302305301719581365e+00 -1.053666856456361529e+04 -5.874743083713094165e+03 -1.893591614015556843e+03 1.553791148437900631e+02 1.213202695900005892e+04 8.524950864511676230e+01 -4.534120504098585513e+01
5.255660685113063835e-01 7.821636151996516162e+01 1.863823694898544048e+01 7.369831768583082976e+00 -1.057231168747212359e+04 -5.891831674484595169e+03 -1.898549741153291052e+03 1.556774189871863712e+02 1.216736976453400894e+04 8.546102358626934858e+01 -4.534120504098585513e+01
5.563753293932023336e-01 7.828382161708182707e+01 1.883732237149584421e+01 7.344291989631758888e+00 -1.004561723062683814e+04 -5.642243914506256260e+03 -1.822511662811527231e+03 1.501070985657719632e+02 1.164627413193972825e+04 8.547277709179054739e+01 -4.534120504098585513e+01
