# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
1.704505846527939461e-01 6.140413742974966560e+00 1.369207818982223124e+01 2.655166105274944130e+03 -4.257325416384985147e+03 8.412077513901929706e+03 -8.657563747526401130e+03 4.633010843903111891e+03 -9.696872938055657869e+02 -3.364194539925960541e+09 -3.959344711998390665e+01
8.604488291158104429e-01 7.247026158404874963e+00 1.142239765040755728e+01 2.650495379873631919e+03 -4.290958884830004536e+03 8.811995237107328649e+03 -9.097212243134259552e+03 4.531582389979769687e+03 -8.564676813200670722e+02 -1.652252158228144236e+07 -3.959344711998390665e+01
7.294735742466321171e-02 5.913683204464375898e+00 1.241855155166421731e+01 2.631533966184122164e+03 -4.218410976788109110e+03 8.640100156085842173e+03 -8.927041045667667277e+03 4.523848025786553990e+03 -8.997951577395817822e+02 -3.129889597047239818e+02 -3.959344711998390665e+01
1.436179689335735470e-02 4.729785569619214591e+00 1.181847295823433441e+01 2.608297229626938588e+03 -4.137729683147284959e+03 8.563241231610465547e+03 -8.945291023145726285e+03 4.584038558154789825e+03 -9.223590080912288158e+02 -1.287213459745093814e+03 -3.959344711998390665e+01
5.848699051138296634e-02 6.048403204872958128e+00 1.236329956858262058e+01 2.618815019135652165e+03 -4.167276488278652323e+03 8.567739423727605754e+03 -8.888062600596902485e+03 4.521930137267386272e+03 -9.029326806681663129e+02 2.028798265232484255e+01 -3.959344711998390665e+01
3.019912428929691708e-03 5.234955860251746529e+00 1.317834194903709211e+01 2.670682430949706486e+03 -4.321734222759479053e+03 8.613087308086580379e+03 -8.625217941835288002e+03 4.220713125470395426e+03 -8.071292195814211254e+02 -2.307650201322855719e+04 -3.959344711998390665e+01
