# A phi l a0 a1 a2 a3 a4 a5 logL logPrior
5.313582319671257270e-01 7.220649354620723770e+00 1.382036876339897447e+01 2.512987787409592329e+03 -4.053932077178550117e+03 9.063619769086231827e+03 -8.536897042576178137e+03 4.201347177111142628e+03 -9.285752127964926785e+02 -1.574759670735554504e+11 -3.959344711998390665e+01
2.479761120987129808e-01 5.274657946813395171e+00 1.180979486427825442e+01 2.654470626972314676e+03 -4.110038348617551492e+03 8.538947810115801985e+03 -8.560625723956267393e+03 4.665285027862756579e+03 -9.542049403480179990e+02 -1.480703059833925781e+11 -3.959344711998390665e+01
7.449024032658690953e-01 6.912514641829305972e+00 1.279539035860328511e+01 2.678399105654777031e+03 -4.184443849688724185e+03 8.147529960489911900e+03 -9.155299629339930107e+03 4.655398163288536125e+03 -8.683554074223161479e+02 -1.360594523836726074e+11 -3.959344711998390665e+01
3.738388207809110186e-01 6.562471671482430047e+00 1.140474225362115313e+01 2.636185887458541401e+03 -4.305560223541806408e+03 9.140576369773301849e+03 -8.585818304708314827e+03 4.239791303633537609e+03 -9.401171664698886161e+02 -1.178595320570079346e+11 -3.959344711998390665e+01
2.750703592746978066e-01 6.615701098311229877e+00 1.226445000206281755e+01 2.501951780137591413e+03 -3.913859373924054580e+03 9.164744374409179727e+03 -9.015774609385354779e+03 4.309501909460635034e+03 -8.863051571510444546e+02 -1.166544697697138977e+11 -3.959344711998390665e+01
1.821559879926467895e-01 5.495946664298979378e+00 1.117668907539327172e+01 2.543318467018188585e+03 -4.308804522999969777e+03 9.016677590963650800e+03 -8.799338694123915047e+03 4.688720103609478429e+03 -9.536710863061440477e+02 -1.110975818308968353e+11 -3.959344711998390665e+01
7.961669315106125744e-01 6.788244171755882128e+00 1.268924950170182697e+01 2.528631190041910486e+03 -4.370143553470118604e+03 8.848705993476198273e+03 -9.307477249236088028e+03 4.581371498593443903e+03 -9.237024249565622540e+02 -1.091047391742434692e+11 -3.959344711998390665e+01
3.441340279705005223e-01 7.129666744942457335e+00 1.169999639751795861e+01 2.577091919856571167e+03 -3.947926351147502373e+03 8.815858737626926086e+03 -9.036583222485969600e+03 4.591636669628480377e+03 -8.782425896196344866e+02 -9.342838543165364075e+10 -3.959344711998390665e+01
1.011870051276410887e-01 7.755697277937619205e+00 1.199011178452140491e+01 2.511819496219871780e+03 -4.191933353292258289e+03 8.691423024011462985e+03 -9.368750744243418012e+03 4.730859391039310140e+03 -9.662455933290710846e+02 -8.104776327071232605e+10 -3.959344711998390665e+01
6.866813971215789403e-01 6.721229042092341288e+00 1.300477614316756636e+01 2.519803296061262699e+03 -3.927881942440444618e+03 8.629783335616453769e+03 -9.102331112892892634e+03 4.237042994275893761e+03 -9.342676867572142783e+02 -7.964101206523950195e+10 -3.959344711998390665e+01
4.880112254471394295e-01 6.945775614334958270e+00 1.144687209221260460e+01 2.542220402230472700e+03 -3.938742927688929285e+03 8.259836795255165271e+03 -8.981456062082410426e+03 4.450205544629188807e+03 -9.209806685899810645e+02 -7.275118471312963867e+10 -3.959344711998390665e+01
9.985820685851499734e-01 5.626073580215264158e+00 1.327928262892482181e+01 2.630039149634675596e+03 -3.900913438302654413e+03 8.755541373573229066e+03 -8.981688952362743294e+03 4.481372302051339830e+03 -9.479715931295195332e+02 -7.099718323065409851e+10 -3.959344711998390665e+01
7.695659314534294415e-01 7.606313479448206571e+00 1.120727053743488533e+01 2.574320236752963410e+03 -4.392512114019346882e+03 8.839665700259885853e+03 -8.560251417105950168e+03 4.611649531004199162e+03 -9.753104174743550630e+02 -6.923251762107456970e+10 -3.959344711998390665e+01
8.782447729406649417e-01 4.873786485553559977e+00 1.377927808417478950e+01 2.524701980604691016e+03 -4.326497999358864945e+03 8.635559297442312527e+03 -8.740645596008151188e+03 4.824843945206090211e+03 -8.856822538542820666e+02 -6.632345794847117615e+10 -3.959344711998390665e+01
