

    0.150997440766117082E-98    0.429953851678808803E+03    0.520999100291463998E-01    0.673130964022049838E+01    0.126431926960988292E+02    0.265081537779211567E+04   -0.434123901432060484E+04    0.894234759299308280E+04   -0.928729961737894700E+04    0.473243293836189059E+04   -0.946839040535421987E+03
    0.177277891288547879E-98    0.429628940437652318E+03    0.485077132593185675E-01    0.485796920754552630E+01    0.120348134353463259E+02    0.260188638818782056E+04   -0.406484263589196644E+04    0.832494651450797392E+04   -0.860589459504400656E+04    0.436101259848921200E+04   -0.866893010453259990E+03
    0.184361385826539371E-98    0.429546581685448018E+03    0.612479634450280100E-01    0.598150083083630779E+01    0.123094542012923043E+02    0.261922204182625956E+04   -0.415397323476887050E+04    0.850727028515692473E+04   -0.879227830391266798E+04    0.445659589410634999E+04   -0.886604696948251103E+03
    0.186595195561578488E-98    0.429518494373367162E+03    0.561244851374411990E-01    0.567593766872365091E+01    0.122219296883875224E+02    0.263222688676374628E+04   -0.423456502513429677E+04    0.869964619395278896E+04   -0.901456621775047097E+04    0.458151919844560234E+04   -0.914020242366081561E+03
    0.197382340719685703E-98    0.429402092127765457E+03    0.701775507266863552E-01    0.580612646930274501E+01    0.122471499856589006E+02    0.264768220912441211E+04   -0.432642861364056262E+04    0.891478844080471754E+04   -0.926220851978203427E+04    0.472125223258957067E+04   -0.944879804762304275E+03
    0.212751928413849910E-98    0.429248123791739204E+03    0.633217779512980639E-01    0.546018191442023504E+01    0.121389848252636803E+02    0.262415988221435646E+04   -0.418659771188925515E+04    0.858915350699775991E+04   -0.889105526460957481E+04    0.451428988456917068E+04   -0.899706737203462694E+03
    0.235877979972167543E-98    0.429037748180411484E+03    0.624910170730145001E-01    0.783429766069623756E+01    0.129089520522712125E+02    0.261812078451642265E+04   -0.415638285171463031E+04    0.852855111023331483E+04   -0.882933325078003691E+04    0.448200356798844768E+04   -0.892750298046969078E+03
    0.273999711467439616E-98    0.428734123348316075E+03    0.482211293239285382E-01    0.593853092093566293E+01    0.123164370276228397E+02    0.260392812348930784E+04   -0.407870096756327393E+04    0.835969861160591245E+04   -0.864749232549447697E+04    0.438522907308507911E+04   -0.872441235995785860E+03
    0.305853542933391602E-98    0.428510164715986889E+03    0.613588470586903037E-01    0.486701296862125865E+01    0.121035340036299459E+02    0.266189793849940725E+04   -0.438723947820589365E+04    0.901085167722827828E+04   -0.932877075108180361E+04    0.473853998080233123E+04   -0.945053496353669175E+03
    0.351367638084384874E-98    0.428228711300467978E+03    0.617045094259931967E-01    0.590375551722251224E+01    0.122577588162647348E+02    0.260829491612241281E+04   -0.409433453995865693E+04    0.837790526667707854E+04   -0.865271564486830903E+04    0.438162964340275266E+04   -0.870553799005062842E+03
    0.503873613492777583E-98    0.427503726515524534E+03    0.318238792453875499E-01    0.484359143459966202E+01    0.120169617090978278E+02    0.265214750110541991E+04   -0.434784979605391618E+04    0.895512058567169515E+04   -0.929937980688917560E+04    0.473807529830214753E+04   -0.947912175170239379E+03
    0.560458726889598997E-98    0.427286866247884461E+03    0.424771998104715720E-01    0.531876261587015708E+01    0.121808379074051789E+02    0.259922284253999942E+04   -0.405100860722435982E+04    0.829676812427415643E+04   -0.857800747736642006E+04    0.434767316330112408E+04   -0.864434859847371058E+03
    0.664425303088467877E-98    0.426942532532748544E+03    0.592681870958986570E-01    0.525900431074206054E+01    0.120475553491443819E+02    0.264780235215796392E+04   -0.432883096223477150E+04    0.892433666441028072E+04   -0.927704841504202705E+04    0.473127339920138911E+04   -0.947345207908488533E+03
    0.734921984220195338E-98    0.426736848755691824E+03    0.740747012500697355E-01    0.551417358752315945E+01    0.122560201831477826E+02    0.260834033529840463E+04   -0.410654426627165958E+04    0.843006035271204928E+04   -0.873521531382815556E+04    0.443870975052595804E+04   -0.885127884650972305E+03
    0.745474260475075905E-98    0.426704336240847852E+03    0.668444515703273678E-01    0.618169539294423132E+01    0.123217231124136930E+02    0.265705869841068807E+04   -0.436598544392528129E+04    0.897685138475750500E+04   -0.930552970319726774E+04    0.473318936658293296E+04   -0.945367635951393822E+03
    0.782066018749540852E-98    0.426604499135143328E+03    0.724218428557030225E-01    0.493589037046637547E+01    0.119813248431608503E+02    0.262376848993576868E+04   -0.419184801127213086E+04    0.861795846155211802E+04   -0.894124764853526358E+04    0.455101477925548988E+04   -0.909427468638382607E+03
    0.103807947101968162E-97    0.426034122210071700E+03    0.555289117691017131E-01    0.532317090038114937E+01    0.120870112242311656E+02    0.264468505089757127E+04   -0.430898243126352463E+04    0.887431582475445430E+04   -0.921587465499655264E+04    0.469527058820963066E+04   -0.939210568581048619E+03
    0.114075416923944048E-97    0.425841487705766042E+03    0.426807061921450764E-01    0.613745806953934014E+01    0.124763247980813254E+02    0.261074401943619569E+04   -0.412088298430652776E+04    0.846204602962756690E+04   -0.876887373864394431E+04    0.445539993901731850E+04   -0.888228461389899280E+03
    0.127550714584840770E-97    0.425614179175101583E+03    0.575280533005042283E-01    0.748975887484376557E+01    0.129287106387102320E+02    0.263608995578567192E+04   -0.425040164192605062E+04    0.872512816737492540E+04   -0.903466179208823996E+04    0.458909085187343044E+04   -0.915029303432841402E+03
    0.127919725403981687E-97    0.425604401425225149E+03    0.451051240362044109E-01    0.535061717033753403E+01    0.120617948426727928E+02    0.263836533156774840E+04   -0.426363715134404811E+04    0.875484365161113965E+04   -0.906698180092323128E+04    0.460614492425335447E+04   -0.918519141926581369E+03
    0.149025381558801969E-97    0.425294973994084899E+03    0.628401630176678300E-01    0.607441777979872288E+01    0.123137142310808265E+02    0.264092717885638285E+04   -0.427260165505822897E+04    0.876284144866636052E+04   -0.906310405045926564E+04    0.459765473955964990E+04   -0.915492029640269152E+03
    0.160043055638998341E-97    0.425148321515471252E+03    0.487438198031699410E-01    0.504943627320205302E+01    0.120626990730475363E+02    0.261992130670003098E+04   -0.417266668639007639E+04    0.857593018121432942E+04   -0.889108352430562991E+04    0.451954482123078469E+04   -0.901445476682621575E+03
    0.162434492807822452E-97    0.425114657670401812E+03    0.474849031635201160E-01    0.642622846732228226E+01    0.124562593411922453E+02    0.261712456488894668E+04   -0.415742760824946890E+04    0.854312216027737304E+04   -0.885598681711545396E+04    0.450078263655170667E+04   -0.897411810502388221E+03
    0.202016001234566443E-97    0.424674513452432961E+03    0.480422262749707202E-01    0.476041447758272085E+01    0.119782644067313200E+02    0.258675236963454381E+04   -0.400000039709874045E+04    0.822272718490740954E+04   -0.853652553142137367E+04    0.434500473384951601E+04   -0.867748703841278484E+03
    0.222780445056124912E-97    0.424474833798719260E+03    0.541704743640237102E-01    0.484002109326950336E+01    0.120260007489808558E+02    0.261017111613790439E+04   -0.411330164708190387E+04    0.843868852566995702E+04   -0.873983517753268279E+04    0.443985383141888724E+04   -0.885350478488107910E+03
